,choice,alt,time,fare,age,number_own_cars,chid,idx.chid,idx.alt
357,FALSE,3,0.8298,4.3155,0,1,119,119,3
358,TRUE,1,0.254,1.4,0,0,120,120,1
359,FALSE,2,0.721,3.8,1,0,120,120,2
360,FALSE,3,0.0974,0.3644,0,1,120,120,3
361,TRUE,1,0.495,2.3,0,0,121,121,1
362,FALSE,2,1.218,10.6,1,0,121,121,2
363,FALSE,3,0.3306,1.5828,0,1,121,121,3
364,TRUE,1,0.481,2.3,0,0,122,122,1
365,FALSE,2,1.273,9.3,1,0,122,122,2
366,FALSE,3,0.2843,1.3389,0,1,122,122,3
367,TRUE,1,0.636,4.8,0,0,123,123,1
368,FALSE,2,1.23,11.2,1,0,123,123,2
369,FALSE,3,0.4471,4.2428,0,1,123,123,3
370,TRUE,1,0.644,4.8,0,0,124,124,1
371,FALSE,2,1.27,11.2,1,0,124,124,2
372,FALSE,3,0.476,4.3977,0,1,124,124,3
373,TRUE,1,1.42,9.8,0,0,125,125,1
374,FALSE,2,1.804,18.5,1,0,125,125,2
375,FALSE,3,0.6954,5.6529,0,1,125,125,3
376,TRUE,1,0.362,2.3,0,0,126,126,1
377,FALSE,2,0.825,6.9,1,0,126,126,2
378,FALSE,3,0.2729,1.341,0,1,126,126,3
379,TRUE,1,0.459,3.2,0,0,127,127,1
380,FALSE,2,1.3,8.9,1,0,127,127,2
381,FALSE,3,0.2808,1.3236,0,1,127,127,3
382,TRUE,1,1.351,9.62,0,0,128,128,1
383,FALSE,2,1.998,15.4811,1,0,128,128,2
384,FALSE,3,0.8833,4.4843,0,1,128,128,3
385,TRUE,1,0.217,1.4,0,0,129,129,1
386,FALSE,2,1.141,5.2,1,0,129,129,2
387,FALSE,3,0.099,0.3625,0,1,129,129,3
388,TRUE,1,0.505,3.2,0,0,130,130,1
389,FALSE,2,1.266,8.9028,1,0,130,130,2
390,FALSE,3,0.3598,1.7805,0,1,130,130,3
391,TRUE,1,0.445,3.2,0,0,131,131,1
392,FALSE,2,1.444,10.2217,1,0,131,131,2
393,FALSE,3,0.3462,1.7028,0,1,131,131,3
394,TRUE,1,0.649,4.8,0,0,132,132,1
395,FALSE,2,1.182,10.9,1,0,132,132,2
396,FALSE,3,0.4489,4.2554,0,1,132,132,3
397,TRUE,1,0.649,4.8,0,0,133,133,1
398,FALSE,2,1.182,10.9,1,0,133,133,2
399,FALSE,3,0.4489,4.2554,0,1,133,133,3
400,TRUE,1,0.217,1.4,0,0,134,134,1
401,FALSE,2,1.027,9.9,1,0,134,134,2
402,FALSE,3,0.099,0.3625,0,1,134,134,3
403,TRUE,1,1.351,9.62,0,0,135,135,1
404,FALSE,2,1.771,18.5111,1,0,135,135,2
405,FALSE,3,0.8833,4.4843,0,1,135,135,3
406,TRUE,1,0.649,4.8,0,0,136,136,1
407,FALSE,2,1.207,10.8,1,0,136,136,2
408,FALSE,3,0.4489,4.2554,0,1,136,136,3
409,TRUE,1,0.649,4.8,0,0,137,137,1
410,FALSE,2,1.207,10.8,1,0,137,137,2
411,FALSE,3,0.4489,4.2554,0,1,137,137,3
412,TRUE,1,0.98,5.4,0,0,138,138,1
413,FALSE,2,1.265,8.9028,1,0,138,138,2
414,FALSE,3,0.3462,1.7028,0,1,138,138,3
415,TRUE,1,0.312,1.9,0,0,139,139,1
416,FALSE,2,0.882,4.3,0,0,139,139,2
417,FALSE,3,0.2212,1.0106,0,1,139,139,3
418,TRUE,1,0.319,1.9,0,0,140,140,1
419,FALSE,2,0.786,6,0,0,140,140,2
420,FALSE,3,0.227,1.0382,0,1,140,140,3
421,TRUE,1,0.312,1.9,0,0,141,141,1
422,FALSE,2,0.427,4.5,0,0,141,141,2
423,FALSE,3,0.2212,1.0106,0,1,141,141,3
424,TRUE,1,0.436,6.5,0,0,142,142,1
425,FALSE,2,1.693,19.3233,0,0,142,142,2
426,FALSE,3,0.7759,4.0049,0,1,142,142,3
427,TRUE,1,0.319,1.9,0,0,143,143,1
428,FALSE,2,0.784,6,0,0,143,143,2
429,FALSE,3,0.227,1.0382,0,1,143,143,3
430,TRUE,1,0.379,3.2,0,0,144,144,1
431,FALSE,2,0.859,8.9,0,0,144,144,2
